rank,Country,Crime_Index,Population,Id
4,Afghanistan,76,42239854,1
78,Albania,43,2832439,2
43,Algeria,52,45606480,3
18,Argentina,64,45773884,5
127,Armenia,23,2777970,6
75,Australia,43,26439111,7
119,Austria,26,8958960,8
118,Bahrain,26,1485509,11
17,Bangladesh,64,172954319,12
70,Belgium,45,11686140,15
27,Bolivia,58,12388571,19
76,Bosnia and Herzegovina,43,3210847,20
42,Botswana,53,2675352,21
9,Brazil,67,216422446,22
92,Bulgaria,38,6687717,23
46,Cambodia,51,16944826,27
14,Cameroon,65,28647293,28
82,Canada,42,38781291,29
41,Chile,53,19629590,33
108,China,30,1425671352,34
30,Colombia,57,52085168,35
38,Costa Rica,54,5212173,39
123,Croatia,25,4008617,41
105,Cyprus,31,1260138,43
120,Czech Republic,26,10495295,44
117,Denmark,26,5910913,45
22,Dominican Republic,61,11332972,48
37,Ecuador,55,18190484,49
59,Egypt,47,112716598,50
8,El Salvador,68,6364943,51
125,Estonia,24,1322765,54
50,Ethiopia,49,126527060,55
114,Finland,28,5545475,57
44,France,52,64756584,58
126,Georgia,23,3728282,61
95,Germany,36,83294633,62
58,Ghana,47,34121985,63
66,Greece,46,10341277,64
26,Guatemala,59,18092026,65
5,Honduras,75,10593798,70
96,Hungary,34,10156239,72
124,Iceland,24,375318,73
71,India,44,1428627663,74
65,Indonesia,46,277534122,75
48,Iran,49,89172767,76
53,Iraq,48,45504560,77
67,Ireland,46,5056935,78
104,Israel,31,9174520,79
69,Italy,45,58870762,80
10,Jamaica,67,2825544,81
129,Japan,22,123294513,82
87,Jordan,40,11337052,83
40,Kazakhstan,54,19606633,84
23,Kenya,60,55100586,85
116,South Korea,27,51784059,88
31,Kyrgyzstan,57,6735347,90
91,Latvia,39,1830211,92
60,Lebanon,47,5353930,93
101,Lithuania,33,2718352,98
97,Luxembourg,34,654768,99
90,North Macedonia,39,2085679,101
29,Malaysia,57,34308525,104
85,Malta,40,535064,107
51,Mauritius,49,1300557,109
39,Mexico,54,128455567,110
62,Moldova,46,3435931,112
34,Mongolia,56,3447157,113
84,Montenegro,41,626485,114
52,Morocco,49,37840044,115
15,Namibia,65,2604172,117
94,Nepal,36,30896590,118
115,Netherlands,27,17618299,119
77,New Zealand,43,5228100,120
55,Nicaragua,48,7046310,121
16,Nigeria,64,223804632,123
98,Norway,34,5474360,124
79,Pakistan,43,240485658,126
68,Panama,45,4468087,127
49,Paraguay,49,6861524,129
12,Peru,67,34352719,130
80,Philippines,42,117337368,131
106,Poland,31,41026067,132
109,Portugal,30,10247605,133
112,Romania,28,19892812,135
86,Russia,40,144444359,136
121,Saudi Arabia,25,36947025,142
93,Serbia,38,7149077,144
113,Singapore,28,6014723,147
107,Slovakia,30,5795199,148
128,Slovenia,22,2119675,149
3,South Africa,77,60414495,151
102,Spain,33,47519628,152
83,Sri Lanka,41,21893579,153
54,Sweden,48,10612086,157
131,Switzerland,22,8796669,158
134,Taiwan,15,23923276,160
35,Tanzania,56,67438106,162
89,Thailand,39,71801279,163
73,Tunisia,44,12458223,168
88,Turkey,40,85816199,169
32,Uganda,56,48582334,171
57,Ukraine,47,36744634,172
135,United Arab Emirates,15,9516871,173
64,United Kingdom,46,67736802,174
56,United States,48,339996563,175
45,Uruguay,52,3423108,176
99,Uzbekistan,33,35163944,177
1,Venezuela,84,28838499,179
63,Vietnam,46,98858950,180
74,Zambia,44,20569737,182
25,Zimbabwe,59,16665409,183
