Country ,Happiness_score,GDP_per_capita,Social_support,Healthy_life_expectancy,Corruption,Id
Afghanistan,1.859,7.324,0.341,54.712,0.847,1
Albania,5.277,9.567,0.718,69.15,0.878,2
Algeria,5.329,9.3,0.855,66.549,0.717,3
Argentina,6.024,9.959,0.891,67.2,0.814,5
Armenia,5.342,9.615,0.79,67.789,0.705,6
Australia,7.095,10.821,0.934,71.05,0.496,7
Austria,7.097,10.899,0.888,71.15,0.497,8
Bahrain,6.173,10.776,0.844,65.825,0.737,11
Bangladesh,4.282,8.685,0.544,64.548,0.698,12
Belgium,6.859,10.844,0.915,70.899,0.549,15
Bolivia,5.684,8.985,0.811,63.599,0.846,19
Bosnia and Herzegovina,5.633,9.616,0.88,67.275,0.918,20
Botswana,3.435,9.629,0.753,54.725,0.83,21
Brazil,6.125,9.582,0.836,65.749,0.738,22
Bulgaria,5.466,10.087,0.918,66.5,0.911,23
Cambodia,4.393,8.385,0.747,61.9,0.857,27
Cameroon,4.973,8.217,0.686,55.847,0.846,28
Canada,6.961,10.773,0.929,71.4,0.42,29
Chile,6.334,10.114,0.889,70.3,0.823,33
China,5.818,9.738,0.836,68.689,0.727,34
Colombia,5.63,9.584,0.822,69.35,0.834,35
Costa Rica,6.609,9.952,0.872,70,0.768,39
Croatia,6.125,10.341,0.917,68.95,0.925,41
Cyprus,6.13,10.611,0.826,72.802,0.86,43
Czech Republic,6.845,10.611,0.953,69.05,0.859,44
Denmark,7.586,10.962,0.954,71.25,0.196,45
Dominican Republic,5.569,9.811,0.827,64.399,0.657,48
Ecuador,5.559,9.27,0.806,69,0.833,49
Egypt,4.17,9.367,0.726,63.503,0.58,50
El Salvador,6.122,9.089,0.755,65.597,0.62,51
Estonia,6.455,10.541,0.946,69.65,0.409,54
Ethiopia,4.091,7.739,0.782,60.698,0.789,55
Finland,7.804,10.792,0.969,71.15,0.182,57
France,6.661,10.701,0.909,72.3,0.553,58
Georgia,5.109,9.646,0.716,64.95,0.649,61
Germany,6.892,10.879,0.896,71.3,0.42,62
Ghana,4.605,8.596,0.641,58.763,0.881,63
Greece,5.931,10.288,0.835,71.15,0.793,64
Guatemala,6.15,9.116,0.812,62.9,0.837,65
Honduras,6.023,8.635,0.766,64.063,0.843,70
Hungary,6.041,10.419,0.943,67.5,0.839,72
Iceland,7.53,10.896,0.983,72.05,0.668,73
India,4.036,8.759,0.608,60.777,0.774,74
Indonesia,5.277,9.385,0.804,63.048,0.876,75
Iran,4.876,9.61,0.778,66.6,0.747,76
Iraq,4.941,9.098,0.718,63.415,0.876,77
Ireland,6.911,11.527,0.905,71.3,0.358,78
Israel,7.473,10.639,0.943,72.697,0.708,79
Italy,6.405,10.634,0.882,72.05,0.842,80
Jamaica,5.703,9.165,0.867,66.6,0.875,81
Japan,6.129,10.616,0.894,74.349,0.64,82
Jordan,4.12,9.13,0.729,67.6,0.687,83
Kazakhstan,6.144,10.166,0.931,65.802,0.721,84
Kenya,4.487,8.458,0.69,58.499,0.852,85
South Korea,5.951,10.693,0.812,73.65,0.701,88
Kyrgyzstan,5.825,8.486,0.911,66.852,0.904,90
Latvia,6.213,10.37,0.937,66.4,0.83,92
Lebanon,2.392,9.478,0.53,66.149,0.891,93
Lithuania,6.763,10.568,0.939,67.397,0.805,98
Luxembourg,7.228,11.66,0.879,71.675,0.345,99
North Macedonia,5.254,9.703,0.805,66.5,0.902,101
Malaysia,6.012,10.169,0.799,65.662,0.758,104
Malta,6.3,10.661,0.923,71.6,0.729,107
Mauritius,5.902,9.957,0.888,63.85,0.775,109
Mexico,6.33,9.85,0.804,65.8,0.768,110
Moldova,5.819,9.499,0.857,65.299,0.901,112
Mongolia,5.84,9.372,0.933,60.5,0.849,113
Montenegro,5.722,9.813,0.89,67.1,0.844,114
Morocco,4.903,8.973,0.553,63.901,0.811,115
Namibia,4.631,9.121,0.787,56.851,0.83,117
Nepal,5.36,8.256,0.748,61.847,0.783,118
Netherlands,7.403,10.942,0.93,71.55,0.379,119
New Zealand,7.123,10.662,0.952,70.35,0.271,120
Nicaragua,6.259,8.618,0.853,65.65,0.625,121
Nigeria,4.981,8.496,0.74,54.891,0.911,123
Norway,7.315,11.088,0.943,71.5,0.283,124
Pakistan,4.555,8.54,0.601,57.313,0.787,126
Panama,6.265,10.305,0.896,68.95,0.878,127
Paraguay,5.738,9.51,0.906,65.9,0.843,129
Peru,5.526,9.402,0.798,69.85,0.892,130
Philippines,5.523,8.979,0.78,62.038,0.732,131
Poland,6.26,10.453,0.925,69.049,0.736,132
Portugal,5.968,10.429,0.878,71.25,0.878,133
Romania,6.589,10.339,0.848,67.051,0.929,135
Russia,5.661,10.21,0.889,64.947,0.801,136
Saudi Arabia,6.463,10.715,0.884,64.399,0.691,142
Serbia,6.144,9.854,0.873,67.088,0.816,144
Singapore,6.587,11.571,0.878,73.8,0.146,147
Slovakia,6.469,10.353,0.953,68.838,0.898,148
Slovenia,6.65,10.588,0.951,71.052,0.771,149
South Africa,5.275,9.478,0.907,56.989,0.902,151
Spain,6.436,10.54,0.932,72.35,0.711,152
Sri Lanka,4.442,9.491,0.826,67.15,0.808,153
Sweden,7.395,10.883,0.939,72.15,0.202,157
Switzerland,7.24,11.164,0.92,72.9,0.266,158
Taiwan,6.535,10.797,0.884,69.6,0.681,160
Tanzania,3.694,7.857,0.653,59.401,0.554,162
Thailand,5.843,9.751,0.874,68.45,0.91,163
Tunisia,4.497,9.244,0.73,67,0.907,168
Turkey,4.614,10.307,0.796,68.663,0.795,169
Uganda,4.432,7.716,0.794,58.913,0.857,171
Ukraine,5.071,9.314,0.878,64.55,0.907,172
United Arab Emirates,6.571,11.145,0.826,66.243,0.584,173
United Kingdom,6.796,10.704,0.882,70.3,0.454,174
United States,6.894,11.048,0.919,65.85,0.689,175
Uruguay,6.494,10.037,0.913,67.5,0.575,176
Uzbekistan,6.014,8.948,0.875,65.301,0.638,177
Venezuela,5.211,5.527,0.839,64.05,0.811,179
Vietnam,5.763,9.287,0.821,65.502,0.759,180
Zambia,3.982,8.074,0.694,55.032,0.818,182
Zimbabwe,3.204,7.641,0.69,54.05,0.766,183
